district,1_year_and_above,6_months_to_1_year,above_60_days_below_6_months,pending_below_60_days,total_pending_as_on_31_06_2019
Alipurduar,24.0,3.0,0.0,0.0,27.0
Bankura,16.0,2.0,3.0,5.0,26.0
Birbhum,1.0,4.0,17.0,5.0,27.0
Cooch Behar,14.0,5.0,23.0,8.0,50.0
Dakshin Dinajpur,57.0,16.0,4.0,2.0,79.0
Darjeeling,15.0,3.0,7.0,4.0,29.0
Hooghly,86.0,22.0,59.0,1.0,168.0
Howrah,76.0,19.0,69.0,21.0,185.0
Jalpaiguri,17.0,5.0,5.0,4.0,31.0
Jhargram,3.0,0.0,6.0,0.0,9.0
Kalimpong,0.0,0.0,0.0,0.0,0.0
Kolkata,178.0,33.0,46.0,18.0,275.0
Malda,47.0,22.0,17.0,2.0,88.0
Murshidabad,144.0,76.0,8.0,34.0,262.0
Nadia,57.0,8.0,4.0,11.0,80.0
North 24 Parganas,75.0,36.0,58.0,16.0,185.0
Paschim Bardhaman,61.0,24.0,41.0,7.0,133.0
Paschim Medinipur,31.0,22.0,10.0,3.0,66.0
Purba Bardhaman,54.0,36.0,20.0,7.0,117.0
Purba Medinipur,106.0,14.0,15.0,0.0,135.0
Purulia,9.0,0.0,0.0,2.0,11.0
South 24 Parganas,305.0,56.0,81.0,9.0,451.0
Uttar Dinajpur,35.0,3.0,13.0,2.0,53.0
