district,no_of_affected_blocks
Bankura,2.0
Birbhum,3.0
Hooghly,18.0
Howrah,2.0
Jhargram,1.0
Murshidabad,2.0
Nadia,1.0
Paschim Medinipur,6.0
Purba Medinipur,12.0
