district,forwarded_to_bank_no,mm,mm_claimed_no,mm_disbursed_no,pending_mm_disb_no,pending_no,rejected_no,sanctioned_no
Alipurduar,385.0,0.0,11.0,10.0,0.0,143.0,232.0,6.0
Bankura,77.0,0.0,30.0,28.0,0.0,61.0,7.0,23.0
Birbhum,123.0,0.0,20.0,17.0,0.0,84.0,21.0,18.0
Cooch Behar,491.0,1.75,34.0,31.0,1.0,287.0,187.0,24.0
Dakshin Dinajpur,88.0,0.0,22.0,24.0,0.0,61.0,16.0,16.0
Darjeeling,71.0,0.0,30.0,26.0,0.0,62.0,7.0,20.0
Hooghly,50.0,1.4,22.0,20.0,1.0,14.0,29.0,13.0
Howrah,152.0,0.0,27.0,28.0,0.0,117.0,22.0,26.0
Jalpaiguri,59.0,0.0,4.0,4.0,0.0,39.0,19.0,8.0
Kalimpong,2.0,0.0,7.0,8.0,0.0,2.0,0.0,7.0
Kolkata,122.0,2.25,8.0,5.0,1.0,62.0,57.0,3.0
Malda,113.0,0.0,9.0,9.0,0.0,66.0,38.0,11.0
Murshidabad,862.0,7.83,76.0,74.0,1.0,632.0,171.0,78.0
Nadia,135.0,0.0,51.0,48.0,0.0,53.0,51.0,47.0
Paschim Bardhaman,59.0,0.0,2.0,2.0,0.0,36.0,21.0,1.0
Paschim Medinipur,,1.25,25.0,23.0,1.0,198.0,45.0,10.0
Purulia,151.0,0.0,20.0,14.0,0.0,143.0,2.0,13.0
Uttar Dinajpur,21.0,0.0,2.0,1.0,0.0,13.0,8.0,0.0
