district,OS No,OS Amt,Disb No,Disb Amt
EAST JAIÑTIA HILLS,1406,2893.43,59,106.26
East Garo Hills,3336,4401.39,227,288.11
East Khasi Hills,63811,106976.38,3850,5661.23
North Garo Hills,2702,3319.47,147,93.44
Ri Bhoi,18214,24876.85,732,738.33
SOUTH WEST GARO HILLSl,3141,3380.87,268,228.65
South Garo Hills,639,1748.7,78,88.49
South West Khasi Hills,1729,2070.81,76,109.37
WEST JAIÑTIA HILLS,7856,13299.12,394,621.21
West Garo Hills,10264,21135.04,833,1084.54
West Khasi Hills,9195,10379.74,304,386.83
