District,Sishu,Kishore,Tarun
EAST GARO HILLS Total,1,30,4
EAST JAINTIA HILLS Total,10,18,7
EAST KHASI HILLS Total,177,258,102
NORTH GARO HILLS Total,0,17,7
RI BHOI Total,36,128,29
SOUTH GARO HILLS Total,4,18,3
SOUTH WEST GARO HILLS Total,3,53,10
SOUTH WEST KHASI HILLS Total,0,9,3
WEST GARO HILLS Total,78,161,55
WEST JAINTIA HILLS Total,31,99,29
WEST KHASI HILLS Total,6,36,10
