District,Agriculture,MSME,Other Priority Sectors,Loan to Weaker Section,Total Priority Sector
East Garo Hills,6452,1034,144,580,7630
East Jaintia Hills,1871,1838,140,1234,3849
East Khasi Hills,38449,34545,16028,52051,89022
North Garo Hills,8584,483,184,230,9251
REBHOI,29623,5257,908,7257,35788
South Garo Hills,2713,413,90,222,3216
South West Garo Hills,6391,941,222,803,7554
South West Khasi Hills,2269,643,105,1860,3017
West Garo Hills,14761,5399,918,3400,21078
West Jaintia Hills,7118,4791,2943,4184,14852
West Khasi Hills,16455,3132,607,7806,20194
