district,s_no,no_of_br,total_deposit,total_advances,c_d_ratio,invest_ment,adv_inv,total_agri,manf,serv,others,total_psa,adv_to_w_s,sc_st,no_of_branches_r,no_of_branches_su,no_of_branches_u,no_of_branches_m,no_of_branches_total,authorisat_ion_6m,deposits_r_amt,deposits_su_amt,deposits_u_amt,slbc_1_p1_contd_in_crores_deposits_total_no,slbc_1_p1_contd_in_crores_deposits_total_amt
Almora,8,149,683300,160200,23,391,1992,294,90,254,146,784,152,103,101,42,6,0,149,0,358800,276900,47600,129847300,683300
Bageshwar,9,54,217700,52300,24,391,913,70,39,88,35,232,48,47,53,0,1,0,54,0,209100,0,8700,47627600,217700
Chamoli,6,96,395800,275700,70,391,3147,150,57,123,108,438,64,134,68,28,0,0,96,0,273600,121000,1200,84290500,395800
Champawat,11,61,257700,81100,31,391,1202,140,36,159,66,401,142,57,47,12,2,0,61,0,194700,52300,10700,56100800,257700
Dehradun,1,594,6620000,2231000,34,446,22756,1142,1577,3745,2146,8609,1466,415,158,105,331,0,594,0,670000,842600,5107400,534237700,6620000
Haridwar,3,281,2329600,1594100,68,391,16331,2396,1580,1644,963,6583,1639,341,82,55,144,0,281,0,527200,296800,1505600,412551800,2329600
Nainital,12,262,1922500,726200,38,391,7653,1217,666,1401,779,4063,1081,310,117,54,91,0,262,0,431400,433600,1057500,228217000,1922500
Pauri Garhwal,5,195,999500,235700,24,391,2748,300,237,311,532,1381,133,90,130,65,0,0,195,0,475900,514600,9000,153749700,999500
Pithoragarh,10,110,516800,222200,43,391,2612,404,68,249,166,886,217,207,76,31,3,0,110,0,268800,224000,24000,103076300,516800
Rudraprayag,7,56,228700,58800,26,391,979,103,27,87,55,272,121,94,56,0,0,0,56,0,228700,0,0,49243400,228700
Tehri Garhwal,4,137,580700,177000,30,391,2160,319,81,238,187,824,181,89,96,29,12,0,137,0,342600,197300,40800,118346400,580700
Udham Singh Nagar,13,331,1647800,1660700,101,391,16998,5933,1970,1944,1111,10957,3961,574,116,124,91,0,331,0,275700,526200,845900,366767300,1647800
Uttarkashi,2,66,242700,111800,46,391,1508,318,57,114,147,636,173,61,41,25,0,0,66,0,122600,116000,4100,68699300,242700
