district,advances_s_no,advances_from_within_state_r_amt,advances_from_within_state_su_amt,advances_from_within_state_u_amt,advances_from_within_state_total_no,advances_from_within_state_total_amt,advances_from_outside_state_r_amt,advances_from_outside_state_su_amt,advances_from_outside_state_u_amt,advances_from_outside_state_total_no,advances_from_outside_state_total_amt,advances_total_r_amt,advances_total_su_amt,advances_total_u_amt,advances_total_no,advances_total_amt,agriculture_s_no,agriculture_crop_loan_r,agriculture_crop_loan_su,agriculture_crop_loan_u,agriculture_crop_loan_total_no,agriculture_crop_loan_total_amt,agriculture_term_loan_including_agri_infrastructure_and_ancillary_activities_r_amt,agriculture_term_loan_including_agri_infrastructure_and_ancillary_activities_su_amt,agriculture_term_loan_including_agri_infrastructure_and_ancillary_activities_u_amt,agriculture_term_loan_including_agri_infrastructure_and_ancillary_activities_total_no,agriculture_term_loan_including_agri_infrastructure_and_ancillary_activities_total_amt,agriculture_total_r_amt,agriculture_total_su_amt,agriculture_total_u_amt,agriculture_total_no,agriculture_total_amt,contd_s_no,contd_total_manufacturing_sector_no,contd_total_manufacturing_sector_amt,contd_total_service_sector_no,contd_in_crores_total_service_sector_amt,slbc_26_contd_in_crores_total_m_s_m_e_no,slbc_26_contd_in_crores_total_m_s_m_e_amt
Almora,800,68100,67400,22700,8140600,158200,1900,100,0,2200,2000,70100,67500,22700,8142800,160200,8,149,10,11,31868,17000,10200,1400,800,8664,12400,25100,2400,1900,40532,29400,8,3125,9017,9097,25400,12222,34417
Bageshwar,900,47900,100,4300,2903000,52300,0,0,0,300,0,48000,100,4300,2903300,52300,9,32,0,9,11624,4100,2400,100,500,3957,3000,5600,100,1400,15581,7000,9,1673,3886,3824,8791,5497,12677
Chamoli,600,71200,32800,5300,5355900,109200,166400,0,0,600,166500,237600,32800,5300,5356500,275700,6,69,5,0,20576,7400,6900,600,0,5078,7500,13800,1100,0,25654,15000,6,3243,5730,5386,12303,8629,18033
Champawat,1100,50300,21400,4900,3669700,76500,4600,0,0,1200,4600,54800,21400,4900,3670900,81100,11,45,23,20,13332,8700,3200,1400,700,4774,5300,7600,3700,2700,18106,14000,11,1358,3577.0000000000005,6188,15888.999999999998,7546,19466
Dehradun,100,197900,298300,1550100,47274300,2046300,100,22400,162200,17100,184700,198000,320700,1712300,47291400,2231000,1,341,71,58,37921,47100,18800,27600,20800,38738,67200,52900,34700,26600,76659,114200,1,16550,157652,48222,374498,64772,532150
Haridwar,300,413900,139600,656700,38734000,1210300,0,109300,274500,13000,383800,414000,248900,931200,38747000,1594100,3,735,500,452,118699,168700,25600,19300,26000,64617,70900,99100,69300,71200,183316,239600,,10877,158024,26187,164357,37064,322381
Nainital,1200,143500,109400,452200,23141300,705100,100,21000,100,3200,21100,143600,130300,452300,23144500,726200,12,414,142,61,57967,61700,29300,14900,15800,34570,60000,70600,29100,21900,92537,121700,12,6041,66639,29037,140064,35078,206703.00000000003
Pauri Garhwal,500,95500,122000,13300,9096600,230800,4800,100,0,1900,4900,100300,122100,13300,9098500,235700,5,43,16,0,30268,5900,18400,5800,0,6997,24200,22700,7400,0,37265,30000,5,6946,23694,7942,31112,14888,54805.99999999999
Pithoragarh,1000,74300,65400,35900,7233000,175600,46500,100,0,1700,46600,120700,65500,35900,7234700,222200,10,196,48,38,32877,28100,8200,2500,1600,5904,12300,27700,7200,5400,38781,40400,10,2718,6812,7797,24904,10515,31716.000000000004
Rudraprayag,700,58600,200,0,5216900,58800,0,0,0,300,0,58600,200,0,5217200,58800,7,40,0,0,13573,4000,6300,0,0,18017,6300,10300,0,0,31590,10300,7,1756,2725,10005,8706,11761,11431
Tehri Garhwal,400,80500,52800,24900,8671600,158200,0,18800,0,200,18800,80500,71600,24900,8671800,177000,4,134,33,10,39486,17700,9600,3300,1300,15250,14200,23000,6500,2300,54736,31900,,2406,8061,7927,23834,10333,31895
Udham Singh Nagar,1300,246400,421900,804200,44880700,1472500,79500,107600,1100,20900,188200,325900,529500,805300,44901600,1660700,13,1064,1648,653,149492,336500,65900,102400,88500,76400,256800,172300,267100,153800,225892,593300,13,12400,197002,31133,194375,43533,391377
Uttarkashi,200,53400,50200,8100,6305300,111700,0,0,0,700,0,53400,50200,8100,6306000,111800,2,188,62,0,35071,25000,4300,2500,0,2743,6800,23100,8700,0,37814,31800,2,2436,5691,4963,11375,7399,17066
