district,s_n_o,crop_loan_targets_no,crop_loan_targets_amt,crop_loan_achievements_no,crop_loan_achievements_amt,crop_loan_pct_age_amt,term_loan_including_agri_infrastructure_and_ancillary_activities_targets_no,term_loan_including_agri_infrastructure_and_ancillary_activities_targets_amt,term_loan_including_agri_infrastructure_and_ancillary_activities_achievement_no,term_loan_including_agri_infrastructure_and_ancillary_activities_achievement_amt,term_loan_including_agri_infrastructure_and_ancillary_activities_pct_age_amt,total_agriculture_targets_no,total_agriculture_targets_amt,total_agriculture_achievements_no,total_agriculture_achievements_amt,total_agriculture_pct_age_amt,non_farm_sector_targets,non_farm_sector_targets_amt,non_farm_sector_achievements,slbc_3_non_farm_sector_achievements_amt,slbc_3_in_lacs_non_farm_sector_pct_age_amt,contd_s_n_o,contd_other_priority_sector_targets_no,contd_other_priority_sector_targets_amt,contd_other_priority_sector_achievements_no,contd_other_priority_sector_achievements_amt,contd_other_priority_sector_pct_age_amt,contd_total_psa_targets_no,contd_total_psa_targets_amt,contd_total_psa_achievements_no,slbc_3_contd_total_psa_achievements_amt,slbc_3_contd_in_lacs_total_psa_pct_age_amt,nos_of_semi_urban_and_rural_brs,disbursement_loans_issued_1_crop_loan_no,disbursement_loans_issued_1_crop_loan_amt,disbursement_loans_issued_1_term_loan_no,disbursement_loans_issued_1_term_loan_amt,disbursement_loans_issued_1_total_loan_no,slbc_6_in_lacs_disbursement_loans_issued_1_total_loan_amt,s_no,total_micro_and_small_enterprise_manufacturing_sector_no,total_micro_and_small_enterprise_manufacturing_sector_amt,total_micro_and_small_enterprise_service_sector_no,total_micro_and_small_enterprise_service_sector_amt,credit_to_medium_enterprises_manufacturing_sector_no,credit_to_medium_enterprises_manufacturing_sector_amt,slbc_26_credit_to_medium_enterprises_service_sector_no,slbc_26_in_crores_credit_to_medium_enterprises_service_sector_amt,rcs_pending_less_than_1_year_no,rcs_pending_less_than_1_year_amt,rcs_pending_1_year_to_3_years_no,rcs_pending_1_year_to_3_years_amt,slbc_33_rcs_pending_3_years_to_5_years_no,slbc_33_rcs_pending_3_years_to_5_years_amt,name_of_the_city_more_than_5_years_no,name_of_the_city_more_than_5_years_amt,total_rcs_pending_more_than_5_years_no,total_rcs_pending_more_than_5_years_amt,recovery_against_rc_01_04_2021_to_30_09_2021_more_than_5_years_no,slbc_33_b_recovery_against_rc_01_04_2021_to_30_09_2021_more_than_5_years_amt,slbc_33_b_in_lacs_recovery_pct_more_than_5_years_amt
Almora,8,9845,17809,10861,5043,28,3081,26302,1195,994,4,12926,44111,12056,6037,14,4588,21383,3891,10652,50,8,5341,19360,772,1955,10,22855,84854,16719,18644,22,143,10861,5043.42,1195,994.06,12056,6037.48,8,3118,9008,9086,25087,7,9,11,313,563,38975,208,13324,136,6956,121,54.09,1028,647,318,107.86,16.68
Bageshwar,9,21403,8258,4755,2376,29,12605,5166,549,571,11,34008,13423,5304,2947,22,7794,6936,1426,3289,47,9,1732,12494,252,643,5,43534,32853,6982,6879,21,53,4755,2376.4,549,570.63,5304,2947.03,9,1673,3886,3823,8630,0,0,1,161,131,18724,184,38651,124,8142,68,79.75,507,735,52,67.17,9.14
Chamoli,6,12258,5746,2901,1533,27,9312,11728,201,269,2,21570,17474,3102,1802,10,6961,14917,2498,5281,35,6,8169,17908,302,1785,10,36700,50299,5902,8868,18,96,2901,1532.93,201,269.06,3102,1801.99,6,3243,5730,5364,12123,0,0,22,180,151,7220.999999999999,361,17101,178,14231,75,90.91,765,476,72,7.26,1.52
Champawat,11,21260,10683,3428,2715,25,7017,4344,1197,982,23,28277,15027,4625,3697,25,4874,8904,2462,6111,69,11,2348,7042,167,1621,23,35499,30973,7254,11429,37,59,3428,2715.33,1197,981.54,4625,3696.87,11,1356,3574,6181,15819,2,3,7,70,144,15436.000000000002,348,19971,85,6943.000000000001,73,85.8,650,509,24,14.5,2.85
Dehradun,1,23863,37837,11335,12670,33,33685,59527,11628,18164,31,57548,97364,22963,30834,32,97413,352437,15741,126321,36,1,13745,80384,5841,15773,20,168706,530185,44545,172928,33,264,11335,12669.84,11628,18164.5,22963,30834.34,1,16460,142476,47897,343066,90,15176,325,31432,955,189604,1145,149568,625,69287,731,750.89,3456,4835,212,140.44,2.9
Haridwar,3,106481,200000,37750,45808,23,20381,70000,15360,9513,14,126862,270000,53110,55321,20,6376,185000,5956,77954,42,3,16068,59000,3771,7416,13,149306,514000,62837,140691,27,138,37750,45808.47,15360,9512.72,53110,55321.19,3,10736,116563.00000000001,25959,149041,141,41461,228,15316,1410,194658,3453,488927.00000000006,427,49181,603,429.01,5893,7757,240,147.56,1.9
Nainital,12,5519,59008,16482,12282,21,4990,57393,18251,13897,24,10509,116401,34733,26179,22,4577,116306,6983,53723,46,12,4283,44674,1642,6196,14,19369,277381,43358,86098,31,171,16482,12282.36,18251,13896.68,34733,26179.04,12,6013,60667.99999999999,28820,131112,28,5971,217,8952,394,80717,430,117371,263,32869,277,295.5,1364,2605,67,44.85,1.72
Pauri Garhwal,5,7781,17419,2986,2136,12,3514,6694,1543,2648,40,11295,24113,4529,4784,20,2965,23407,3602,14585,62,5,4595,34460,1539,6118,18,18855,81980,9670,25487,31,195,2986,2136.16,1543,2647.83,4529,4783.99,5,6938,23293,7916,30158,8,401,26,953.9999999999999,880,71940,1303,98033,64,6815.000000000001,36,42.14,2283,1810,641,195.61,10.81
Pithoragarh,10,35025,24046,9202,4961,21,7964,6246,811,932,15,42989,30292,10013,5894,19,2494,11618,4611,13913,120,10,3264,12994,443,1770,14,48747,54904,15067,21577,39,107,9202,4961.48,811,932.4,10013,5893.88,10,2718,6812,7792,24894,0,0,5,10,617,50157,1081,53932.00000000001,383,30533,132,94.96,2213,1441,116,29.44,2.04
Rudraprayag,7,10950,7325,2344,1072,15,2523,2823,7883,2738,97,13473,10148,10227,3810,38,3884,8082,2882,3743,46,7,1497,3770,143,852,23,18854,22000,13252,8406,38,56,2344,1071.87,7883,2737.93,10227,3809.8,7,1755,2722,9872,8671,1,3,133,35,203,11414,551,33176,168,11208,54,24.82,976,583,237,63.82,10.95
Tehri Garhwal,4,61276,15823,7854,3888,25,13182,15272,559,537,4,74458,31095,8413,4424,14,2763,12567,3517,8774,70,4,4528,23237,502,2776,12,81749,66899,12432,15975,24,125,7854,3887.8,559,536.67,8413,4424.47,4,2406,8061,7209,20933,0,0,718,2901,364,31448,436,96361,201,10358,208,86.74,1209,1468,237,445.64,30.35
Udham Singh Nagar,13,113394,296689,56289,114165,38,41914,241936,13417,42408,18,155308,538625,69706,156573,29,48925,271209,7037,84588,31,13,12193,63050,6176,14582,23,216426,872884,82919,255743,29,240,56289,114165.29,13417,42407.7,69706,156572.99,13,11577,149610,30883,184051,823,47392,250,10324,1914,565406,6026,1757178,841,191945,563,1206.19,9344,26351,138,71.3,0.27
Uttarkashi,2,21670,17435,7340,5909,34,6100,4350,1260,718,17,27770,21785,8600,6628,30,2400,12588,1652,4428,35,2,1600,7496,180,1504,20,31770,41870,10432,12559,30,66,7340,5909.25,1260,718.43,8600,6627.68,2,2015,2934,4259,10299,421,2757,704,1076,391,37135,1019,79027,486,13431,225,42.83,2121,1339,245,175.92,13.14
