district,s_n_o,yearly_target_no,card_issued_new_and_renewals_no,limit_sanctioned_amount,pct_ach_of_target_amount,no_of_new_kcc_issued_during_the_year,total_kcc_a_cs_since_inception_no,total_kcc_a_cs_since_inception_amount,slbc_5_in_lacs_total_kcc_a_cs_in_which_atm_debit_card_issued_since_inception_no
Almora,8,70000,10861,5043.42,16,1638,31868,17006,21364
Bageshwar,9,23000,4755,2376.4,21,261,11624,4062,7292
Chamoli,6,18000,2901,1532.93,16,500,20576,7427.49,8814
Champawat,11,22000,3428,2715.33,16,972,13332,8705,14861
Dehradun,1,21000,11335,12669.84,54,3226,37921,47050.1,24307
Haridwar,3,5000,37750,45808.47,755,4379,118699,168707.01,84180
Nainital,12,2000,16482,12282.36,824,1088,57967,61672.2,45855
Pauri Garhwal,5,35000,2986,2136.16,9,934,30268,5869,16423
Pithoragarh,10,28000,9202,4961.48,33,1364,32877,28084,33732
Rudraprayag,7,27000,2344,1071.87,9,581,13573,4040,10106
Tehri Garhwal,4,70000,7854,3887.8,11,1744,39486,17673,29173
Udham Singh Nagar,13,5000,56289,114165.29,1126,15192,149492,336495,102624
Uttarkashi,2,11000,7340,5909.25,67,2317,35071,25007,24438
