district,s_no,total_psa_total_no,total_psa_total_amt,total_npsa_total_no,total_npsa_total_amt,total_within_total_no,total_within_total_amt,adv_to_w_s_r_the_district,adv_to_w_s_su_the_district,adv_to_w_s_u_the_district,adv_to_w_s_total_no,adv_to_w_s_total_amt,dir_adv_total_no,dir_adv_total_amt,adv_to_sc_st_total_no,adv_to_sc_st_total_amt,population_wise_cd_ratio_r_amt,population_wise_cd_ratio_su_amt,population_wise_cd_ratio_u_amt,population_wise_cd_ratio_total_amt
Almora,8,55838,78400,25568,79700,81406,158200,66,85,0,17318,15200,436,0,8525,10300,2000,2400,4800,2300
Bageshwar,9,21922,23200,7108,29000,29030,52300,48,0,0,5064,4800,75,0,5070,4700,2300,0,4900,2400
Chamoli,6,35911,43800,17648,65400,53559,109200,34,30,0,6300,6400,63,0,8917,13400,8700,2700,45400,7000
Champawat,11,26764,40100,9933,36400,36697,76500,78,57,7,15814,14200,267,0,5276,5700,2800,4100,4600,3100
Dehradun,1,180208,860900,292535,1185400,472743,2046300,559,164,743,97720,146600,856,200,33314,41500,3000,3800,3400,3400
Haridwar,3,245888,658300,141452,552000,387340,1210300,724,389,526,95787,163900,446,100,43922,34100,7900,8400,6200,6800
Nainital,12,141715,406300,89698,298800,231413,705100,481,247,353,115661,108100,689,100,28141,31000,3300,3000,4300,3800
Pauri Garhwal,5,61668,138100,29298,92800,90966,230800,59,74,0,17104,13300,364,100,3239,9000,2100,2400,14800,2400
Pithoragarh,10,51806,88600,20524,87000,72330,175600,138,76,3,24057,21700,172,0,12583,20700,4500,2900,15000,4300
Rudraprayag,7,44191,27200,7978,31600,52169,58800,121,0,0,35916,12100,32,0,15185,9400,2600,0,0,2600
Tehri Garhwal,4,68243,82400,18473,75700,86716,158200,124,57,0,18494,18100,130,0,6894,8900,2300,3600,6100,3000
Udham Singh Nagar,13,285174,1095700,163633,376800,448807,1472500,1062,1570,1329,181665,396100,1221,200,38630,57400,11800,10100,9500,10100
Uttarkashi,2,47599,63600,15454,48100,63053,111700,44,129,0,10606,17300,28,0,5492,6100,4400,4300,19600,4600
