district,s_no,others_housing_loan_rs_25_lacs_education_loan_10_lacs_r,others_housing_loan_rs_25_lacs_education_loan_10_lacs_su,others_housing_loan_rs_25_lacs_education_loan_10_lacs_u,others_housing_loan_rs_25_lacs_education_loan_10_lacs_total_no,others_housing_loan_rs_25_lacs_education_loan_10_lacs_total_amt,total_psa_total_no,total_psa_total_amt
Almora,8,59,79,7,3084,14600,55838,78400
Bageshwar,9,33,0,2,844,3500,21922,23200
Chamoli,6,76,32,0,1628,10800,35911,43800
Champawat,11,42,22,2,1112,6600,26764,40100
Dehradun,1,354,472,1319,38777,214600,180208,860900
Haridwar,3,118,262,583,25508,96300,245888,658300
Nainital,12,184,162,434,14100,77900,141715,406300
Pauri Garhwal,5,214,306,12,9515,53200,61668,138100
Pithoragarh,10,57,99,10,2510,16600,51806,88600
Rudraprayag,7,55,0,0,840,5500,44191,27200
Tehri Garhwal,4,77,80,29,3174,18700,68243,82400
Udham Singh Nagar,13,147,516,447,15749,111100,285174,1095700
Uttarkashi,2,67,80,0,2386,14700,47599,63600
