District,total_deposit,total_advance,cd_ratio
Anantapur,23466.17,29993.08,127.81
Chittoor,42255.12,35723.0,84.54
East Godavari,38293.49,50625.35,132.2
Guntur,43957.27,61505.53,139.92
Krishna,19830.61,28158.21,141.99
Kurnool,17613.15,30348.33,172.3
Prakasam,12010.41,14888.9,123.97
Spsr Nellore,18695.24,27927.03,149.38
Srikakulam,61689.08,78973.1,128.02
Vizianagaram,26197.82,40679.32,155.28
West Godavari,19015.71,22344.66,117.51
Y.s.r.,65054.49,124954.32,192.08
