District,short_term,agrl_term,farm,agr,ancillary,total_agrl,msme,export,others_under,total_priority
Chittoor,11635.06,3904.88,15539.94,331.28,419.61,16290.83,4307.95,0.0,2349.64,22948.42
East Godavari,12509.53,5455.13,17964.65,478.95,2280.98,20724.59,6865.52,0.03,3298.61,30888.75
Guntur,14950.26,5617.82,20568.08,315.64,2280.76,23164.47,10009.49,70.8,3882.7,37127.47
Krishna,14947.6,8182.86,23130.46,282.72,1014.45,24427.64,12458.87,0.0,5162.72,42049.23
Kurnool,10012.35,3843.56,13855.9,139.22,265.45,14260.57,3344.87,0.0,2297.83,19903.27
Prakasam,12203.46,5006.75,17210.22,101.6,250.84,17562.65,3939.3,29.19,3249.63,24780.78
Spsr Nellore,7666.81,3468.59,11135.4,195.19,593.6,11924.19,4225.02,1.26,2166.01,18316.48
Srikakulam,4867.34,3022.37,7889.71,49.66,105.19,8044.56,1629.94,0.0,1738.89,11413.39
Visakhapatanam,7341.58,4005.28,11346.86,462.32,775.63,12584.8,11256.47,34.41,4074.44,27950.12
Vizianagaram,3557.84,1929.56,5487.4,109.42,56.66,5653.48,1321.66,0.0,2005.52,8980.67
West Godavari,13279.55,5464.31,18743.86,199.5,1501.64,20444.99,5675.35,27.99,3560.54,29708.88
Y.s.r.,6467.08,3621.06,10088.14,206.97,93.5,10388.62,2628.98,0.0,1546.26,14563.86
