District,no_of_branches_rural,branch_semi_urban,branch_urban,branch_metro,total_branch
Chittoor,263.0,180.0,190.0,3.0,636.0
East Godavari,301.0,286.0,236.0,2.0,825.0
Guntur,323.0,249.0,296.0,2.0,870.0
Krishna,249.0,275.0,113.0,251.0,888.0
Kurnool,160.0,120.0,204.0,1.0,485.0
Prakasam,200.0,200.0,86.0,1.0,487.0
Spsr Nellore,149.0,156.0,136.0,1.0,442.0
Srikakulam,176.0,102.0,61.0,1.0,340.0
Visakhapatanam,176.0,113.0,38.0,451.0,778.0
Vizianagaram,127.0,92.0,75.0,1.0,295.0
West Godavari,228.0,267.0,145.0,2.0,642.0
Y.s.r.,138.0,121.0,120.0,1.0,380.0
