District,Rabi insured Pmfby under Amt,Pmfby Rabi Farmers Covered No.,Kharif insured Pmfby under Amt,Pmfby Kharif Farmers Covered No.,Loan Current Amount Year Achievement Crop
East Garo Hills,0,0,0,42,72.74
East Jaintia Hills,0,0,0,0,173.01
East Khasi Hills,0,0,1.4,18,6012.39
North Garo Hills,0,0,0,0,9.29
Ri Bhoi,0,0,10.09,58,1366.35
South Garo Hills,0,0,1.24,9,3.6
West Garo Hills,0,0,1.75,114,686.02
West Jaintia Hills,0.58,4,8.37,39,2826.36
West Khasi Hills,0,0,0,67,716
