District,Outstanding No.,Outstanding Amt,CY Disbursed No.,CY Disbursed Amt
East Garo Hills,5036,8777.16,2307,4545.88
East Jaintia Hills,2264,6422.91,942,3401.02
East Khasi Hills,62326,166338.47,29234,69009.21
Eastern West Khasi Hills,6196,6628.38,2336,2620.94
North Garo Hills,2826,5727.5,681,2206.51
Ri Bhoi,25913,40860.33,7306,15479.96
South Garo Hills,1250,4326.18,399,2294.29
South West Garo Hills,3832,5925.02,1151,2147.59
South West Khasi Hills,2213,3672.32,763,1598.39
West Garo Hills,16779,38547.49,5920,15555.91
West Jaintia Hills,9458,19518.99,4465,9238.27
West Khasi Hills,5385,7791.98,1622,3056.55
