District,NPS Amt. % NPA,Total Non-Priority NPA Amt,Total NPA Priorityrityrity No. Sec Non,Total NPS O/S Amt,Total NPS O/S No.,Other Amt (NPS),Other No. (NPS),Personal Loan Amt,Personal Loan No.,Housing Amt (NPS),Housing No. (NPS),Education Amt (NPS),Education No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,1.76,396.15,293,22473.84,6242,19340.56,4930,2482.85,1252,643.85,58,6.58,2,0,0
East Khasi Hills,0.43,2977.65,1730,696608.64,92216,560283.82,67034,60713.84,20897,69373.7,3926,6237.28,359,0,0
Ri Bhoi,0.82,1017.88,449,124695.52,25464,100006.18,20732,7072.92,3414,17524.97,1306,90.45,10,1,2
West Garo Hills,1.91,1796.66,1034,94075.55,24162,72343.93,17694,11758.43,5638,9873.46,820,99.73,10,0,0
West Khasi Hills,0.97,128.12,76,13197.21,4109,8522.52,2567,3903.76,1486,756.9,53,14.03,3,0,0
