District,Operative CASA,Aadhaar Seeded CASA,Authenticated CASA
East Garo Hills,109630,4606,10382
East Jaintia Hills,130865,22380,6028
East Khasi Hills,1051055,139326,138899
Eastern West Khasi Hills,105037,8006,1342
North Garo Hills,122882,5424,4590
Ri Bhoi,278302,26573,8551
South Garo Hills,82589,4468,4761
South West Garo Hills,130811,9710,11463
South West Khasi Hills,74209,1616,423
West Garo Hills,457867,41818,36517
West Jaintia Hills,298378,25847,10447
West Khasi Hills,143739,16059,3934
