District,NULM NPA Amt,NULM NPA No.,NULM O/S Amt,NULM O/S No.,NULM Current Year Total Disbursement Amt,NULM Current Year Total Disbursement No.,Women SHG Beneficiary No.,Women SHG Amt,Women SHG No.,SHG Beneficiary No.,SHG Amt,SHG No.,Sep-I Amt,No. Sep-I
East Garo Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Jaintia Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Khasi Hills,19.61,26,86.04,80,5.8,3,2,3.8,2,2,3.8,2,2,1
Ri Bhoi,0,4,0,0,0,0,0,0,0,0,0,0,0,0
West Garo Hills,37.14,17,48.52,53,18.93,15,13,16.71,12,13,16.72,13,2.21,2
West Khasi Hills,0,0,0.2,1,0,0,0,0,0,0,0,0,0,0
