District,Total Msme NPA Amt (PS),Total Msme NPA No. (PS),Total Msme O/S Amt (PS),Total Msme O/S No. (PS),Agri Amt % NPA,Total Agri NPA Amt (PS),Total Agri NPA No. (PS),Total Agri O/S Amt (PS),Total Agri O/S No. (PS)
East Garo Hills,215.36,612,2885.32,1744,20.89,1158.86,3178,5548.37,5062
East Jaintia Hills,782.73,210,7189.26,2112,4.35,204.73,528,4709.81,2613
East Khasi Hills,10594.77,2783,221530.66,16854,3.15,3876.41,6073,123038.98,28467
Eastern West Khasi Hills,72.59,59,2952.29,1693,10.45,483.72,1198,4627.17,7541
North Garo Hills,243.84,354,1584.97,1161,47.45,1805.7,4523,3805.85,5860
Ri Bhoi,936.23,836,51912.76,5609,32.42,8192.91,15534,25272.32,34131
South Garo Hills,240.95,224,1081.19,723,18.15,558.81,2274,3078.28,3273
South West Garo Hills,262.21,211,2501.6,1244,49.51,2346.8,5064,4740.1,7586
South West Khasi Hills,49.39,36,1559.48,815,6.89,162.79,424,2362.81,2836
West Garo Hills,1508.21,1564,17400.31,7296,22.65,2939.72,8148,12976.12,14027
West Jaintia Hills,1663.97,739,20594.6,6132,6.1,1101.99,2089,18076.01,6582
West Khasi Hills,482.99,333,4275.12,2352,32.08,1934.33,3502,6029.97,7298
