District,Total MUDRA Disbursement Amt,Total MUDRA Disbursement No.,Tarun Amt,Tarun No.,Kishore Amt,Kishore No.,Sishu amt,Sishu No.
East Garo Hills,871.81,1149,276.35,40,249.55,126,345.91,983
East Jaintia Hills,911.73,272,566.08,71,323.25,125,22.4,76
East Khasi Hills,15831.79,12815,5624.72,495,7835.52,6043,2371.55,6277
Eastern West Khasi Hills,183.21,55,116.09,15,56.87,19,10.25,21
North Garo Hills,325.43,137,190.02,27,129.31,72,6.1,38
Ri Bhoi,3117.68,2213,832.67,107,2004.11,1360,280.9,746
South Garo Hills,326.35,114,203.03,30,111.17,57,12.15,27
South West Garo Hills,424.5,139,231.2,34,187.03,91,6.27,14
South West Khasi Hills,226.88,83,108.28,14,114.63,58,3.97,11
West Garo Hills,3044.55,2574,1479.17,209,802.61,371,762.77,1994
West Jaintia Hills,2655.12,1575,1035.45,118,1389.1,853,230.57,604
West Khasi Hills,759.84,259,301.26,41,437.23,175,21.35,43
