District,(PS) Amount MSME Target,MSME Target No. (PS),Crop Amount Achv% Loan,Crop Amount Achieved Loan,Crop Loan Achieved No.,Crop Target Amount Loan,Crop Loan Target No.,Amount Achv% Agri(PS),Agri Amount Achieved (PS),Agri Achieved No. (PS),Agri Target Amount (PS),Agri Target No. (PS)
East Garo Hills,826,493,58.43,861.61,845,1474.52,2464,46.33,1396.22,1288,3013.92,4837
East Jaintia Hills,4400,2200,57.38,1002.64,409,1747.39,2080,41.59,1360.11,1125,3270.03,2988
East Khasi Hills,53578,7142,81.72,5649.37,6674,6913.4,9734,103.33,10477.04,10436,10139.15,13036
North Garo Hills,414,572,45.45,560.03,703,1232.16,2289,33.98,833.69,947,2453.69,4538
Ri Bhoi,19235.89,10526,41.26,5472.07,6797,13263.65,14625,30.37,7162.58,8180,23583.65,16871
South Garo Hills,585,289,106.05,646.89,388,610,794,158.44,1286.54,822,812,903
West Garo Hills,9502,3810,46.34,1681.67,1531,3629,6662,47.96,2936.96,3073,6124,11158
West Jaintia Hills,6400,3200,16.25,1252.53,1340,7707.18,6085,17.72,2045.4,2978,11540.39,7348
West Khasi Hills,670,355,31.72,941.1,1398,2966.57,2238,28.63,1229.21,1764,4294.11,2688
