District,Plantation & Horticulture Amt,A/C Nos Plantation horticulture &,Farm Mechanization Amt,Farm Mechanization A/C,Amt wasteland Forestry and Dev,A/C wasteland Forestry Nos and Dev,Crop Amt Loan,Loan Crop A/C
East Garo Hills,0,0,6.44,19,0,0,861.61,845
East Jaintia Hills,0,0,10.81,17,5.01,3,1002.64,409
East Khasi Hills,8.06,9,268.36,827,217.53,203,5649.37,6674
Eastern West Khasi Hills,0.32,1,73.94,236,7.62,5,1268.13,2137
North Garo Hills,0,0,0,0,0,0,560.03,703
Ri Bhoi,0,0,18.42,48,8.69,9,5472.07,6797
South Garo Hills,0,0,0,0,0,0,646.89,388
South West Garo Hills,0,0,126.5,403,0,0,637.34,756
South West Khasi Hills,0,0,0,0,0,0,492.09,720
West Garo Hills,0,0,311.55,897,5.66,6,1681.67,1531
West Jaintia Hills,0,0,242.63,782,0.88,2,1252.53,1340
West Khasi Hills,0,0,0,0,10.07,9,941.1,1398
