district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
East Garo Hills,2,9,1,57,0,57,5,9,1,12,15
East Jaintia Hills,15,3,0,113,3,119,23,4,0,18,27
East Khasi Hills,35,21,250,236,6,248,55,30,102,306,187
Eastern West Khasi Hills,2,4,0,47,2,49,7,4,1,6,12
North Garo Hills,5,3,0,81,6,89,7,4,0,8,11
Ri Bhoi,28,15,1,115,6,122,33,15,1,44,49
South Garo Hills,1,2,0,57,0,57,3,4,1,3,8
South West Garo Hills,6,1,0,114,0,114,10,3,0,7,13
South West Khasi Hills,8,1,0,27,0,27,7,1,0,9,8
West Garo Hills,10,41,1,421,32,457,19,20,5,52,44
West Jaintia Hills,6,21,2,117,10,128,20,20,6,29,46
West Khasi Hills,1,6,1,108,2,110,8,7,1,8,16
