district,amt_scheduled_tribes,castes_amt_scheduled,castes_no_scheduled,dri_amt_scheme,dri_scheme_no,ginal_small_amt_and_farmers_mar,self_groups_help_no,small_farmers_marginal_and_no,tribes_no_scheduled
East Garo Hills,712.45,20.96,5,0,0,3095.47,509,4581,467
East Jaintia Hills,5973.53,14.82,14,4.58,37,1982.56,748,2866,3261
East Khasi Hills,106540.02,1915.22,1055,25.18,155,16855.69,1832,26390,44545
Eastern West Khasi Hills,8656.3,0,0,1.53,8,3792.37,837,7034,7678
North Garo Hills,896.43,19.82,12,0.94,5,3341.01,458,4699,751
Ri Bhoi,15241.35,671.11,281,3.7,28,19965,1487,30869,14021
South Garo Hills,652.35,6.27,3,0,0,1535.38,446,2273,559
South West Garo Hills,1458.66,62.67,25,0,0,4245.22,655,6173,1556
South West Khasi Hills,3354.41,4.51,6,0,0,1704.71,512,2660,2906
West Garo Hills,10426.21,128.05,63,0,0,6610.89,1613,10905,6001
West Jaintia Hills,15841.45,68.58,21,4.05,32,4260.45,1387,4831,7749
West Khasi Hills,8630.11,42.81,8,1.14,10,4378.65,732,7021,5624
