district,adv_rural,adv_semi_urban,adv_semiurban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,cdr_urban,cdr_urban_semi,dep_rural,dep_semi_urban,dep_semiurban,dep_urban,overall_cd_ratio,ratio_overall_cd,rural_cdr,total_advance,total_deposit,total_posit_de,total_vances_ad
East Garo Hills,6065.24,21439.91,21439.91,4373.59,68.29,69.86,73.85,73.85,70.05,8881.15,30688.34,30607.34,5921.88,70.08,70.2,68.29,31878.74,45491.37,45410.37,31878.74
East Jaintia Hills,22699.07,5276.16,5276.16,924.89,16.47,16.89,,,16.89,137810.79,31236.60,31236.6,0,17.09,17.1,16.47,28900.12,169067.39,169047.39,28900.12
East Khasi Hills,88130.15,67498.48,67498.48,859976.57,33.56,42.22,46.24,46.24,42.22,262624.4,159858.22,159858.22,1859915.36,44.50,44.5,33.56,1015605.20,2282467.98,2282397.98,1015605.2
Eastern West Khasi Hills,8493.68,6512.09,6512.09,1170.15,44.42,36.58,18.54,18.54,36.58,19121.51,17801.37,17801.37,6309.88,37.42,37.42,44.42,16175.92,43232.76,43232.76,16175.92
North Garo Hills,15634.37,7133.14,7133.14,0,66.15,60.66,,,60.66,23635.51,11760.12,11760.12,0,64.32,64.32,66.15,22767.51,35395.63,35395.63,22767.51
Ri Bhoi,180123.65,24555.71,24555.71,4491.68,112.24,36.90,91.25,91.25,36.91,160481.84,66543.13,66533.13,4922.18,90.18,90.18,112.24,209171.04,231947.15,231937.15,209171.04
South Garo Hills,4518.09,9645.27,9645.27,2455.25,43.83,66.35,76.12,76.12,66.35,10308.53,14537.04,14537.04,3225.68,59.20,59.2,43.83,16618.61,28071.25,28071.25,16618.61
South West Garo Hills,20799.3,3056.84,3056.84,0,66.94,68.27,,,69.77,31072.32,4477.42,4381.42,0,67.11,67.29,66.94,23856.14,35549.74,35453.74,23856.14
South West Khasi Hills,10282.21,1366.95,1366.95,0,39.53,33.30,,,33.3,26009.22,4105.04,4105.04,0,38.68,38.68,39.53,11649.16,30114.26,30114.26,11649.16
West Garo Hills,36025.52,79382.27,79382.27,10513.85,53.30,53.15,53.90,53.91,53.15,67585.49,149363.05,149363.05,19502.76,53.25,53.25,53.3,125921.64,236453.09,236451.3,125921.64
West Jaintia Hills,15307.55,43920.31,43920.31,19070.17,21.78,36.03,23.79,23.79,36.05,70284.33,121895.23,121841.23,80155.86,28.75,28.76,21.78,78298.03,272335.42,272281.42,78298.03
West Khasi Hills,4373.33,17090.43,17090.43,3184.48,24.22,45.65,37.19,37.19,45.66,18054.16,37440.01,37426.01,8562.86,38.48,38.49,24.22,24648.24,64057.03,64043.03,24648.24
