district,sc_disb_amt,sc_disb_no,sc_disbursement_amt,sc_disbursement_no,sc_o/s_amt,sc_o/s_no,sc_outstanding_amt,sc_outstanding_no,st_disb_amt,st_disb_no,st_disbursement_amt,st_disbursement_no,st_o/s_amt,st_o/s_no,st_outstanding_amt,st_outstanding_no
East Garo Hills,28.3,4,28.30,4,127.85,30,127.85,30,234.77,107,234.77,107,5910.44,3623,5910.44,3623
East Jaintia Hills,136,28,136.00,28,376.11,126,376.11,126,3015.92,1099,3015.92,1099,23336.98,13682,23336.98,13682
East Khasi Hills,2499.58,872,2499.58,872,9970.75,4385,9970.75,4385,49058.24,18987,49058.24,18987,546706.54,140096,546706.54,140096
Eastern West Khasi Hills,1893.37,339,1893.37,339,4392.21,1211,4392.21,1211,8067.85,4354,8067.85,4354,45034.34,33827,45034.34,33827
North Garo Hills,358.47,124,358.47,124,5686.49,1076,5686.49,1076,48786.58,2300,48786.58,2300,40391.99,14443,40391.99,14443
Ri Bhoi,119.52,42,119.52,42,3985.85,933,3985.85,933,2960.95,2184,2960.95,2184,41617.2,29112,41617.20,29112
South Garo Hills,4.5,1,4.50,1,39.15,14,39.15,14,129.76,63,129.76,63,4196.94,3262,4196.94,3262
South West Garo Hills,2.83,2,2.83,2,279.89,83,279.89,83,224.79,212,224.79,212,7940.85,5930,7940.85,5930
South West Khasi Hills,0,0,0.00,0,25.65,12,25.65,12,331.29,279,331.29,279,4749.15,3513,4749.15,3513
West Garo Hills,27.74,16,27.74,16,1071.37,304,1071.37,304,1677.07,581,1677.07,581,25825.96,14882,25825.96,14882
West Jaintia Hills,773.64,182,773.64,182,3403.76,1115,3403.76,1115,7494.53,2569,7494.53,2569,63158.24,24547,63158.24,24547
West Khasi Hills,109.98,15,109.98,15,304.33,65,304.33,65,2098.98,1119,2098.98,1119,17497.18,12216,17497.18,12216
