district,agri_amt_infra,agri_infra_no,amt_ancillary,ancillary_no,crop_amt,crop_no,term_amt_loan,term_no_loan,tot_agri_amt_ps_npa,tot_agri_no_ps_npa
East Garo Hills,363.67,1505,12.67,12,767.17,1774,16.5,44,1160.01,3335
East Jaintia Hills,190.28,395,26.16,18,39.43,66,55.07,81,310.94,560
East Khasi Hills,1096.29,767,294.77,114,2443.93,9665,233.05,394,4068.04,10940
North Garo Hills,481.97,1672,27.03,15,1284.64,2762,0.96,2,1794.6,4451
Ri Bhoi,460.5,1817,137.03,118,7660.15,18060,160.56,567,8418.24,20562
South Garo Hills,396.21,1127,17.12,21,277.22,884,33.76,70,724.31,2102
South West Garo Hills,456.98,1846,7.95,6,1239.68,3094,10.48,41,1715.09,4987
South West Khasi Hills,42.5,103,0,0,169.12,350,9.12,21,220.74,474
West Garo Hills,756.55,2757,95.78,73,2149.99,9870,157.71,387,3160.03,13087
West Jaintia Hills,151.25,291,142.26,92,849.56,6481,30.93,63,1174,6927
West Khasi Hills,79.93,406,14.27,2,1830.88,2997,32.4,61,1957.48,3466
