district,agri_amt_nps,amt_loan_personal,loan_no_personal,no_nps_agri,npa_prio_tot_sec_non_amt,nps_amt%_npa,nps_amt_housing,nps_no_housing,nps_other_no,o/s_tot_no_nps,other_amt_nps,tion_amt_educa_nps,tion_no_educa_nps,tot_amt_nps_o/s,tot_npa_prio_no_sec_non
East Garo Hills,0,2905.36,1284,0,416.94,1.78,680.33,59,5100,6443,19822.81,3.92,0,23412.42,243
East Khasi Hills,0.98,67131.29,21340,2,3056.23,0.42,72793.75,4197,68275,94444,583471.3,9116.16,630,732513.48,1843
Ri Bhoi,5.57,7749.08,3584,3,1174.92,0.94,17997.01,1318,21335,26246,99696.15,120.72,6,125568.53,600
West Garo Hills,0,12219.76,5812,0,2284.94,2.44,10583.42,856,17986,24663,70485.03,284.7,9,93572.91,1428
West Khasi Hills,1.06,3899.77,1482,1,126.38,0.93,964.72,71,2572,4128,8667.85,9.84,2,13543.24,74
