district,amt_msme_other,kvic_amt,medium_amt,micro_amt,micro_no,no_kvic,no_medium,no_msme_other,small_amt,small_no,tot_npa_msme_amt_ps,tot_npa_msme_no_ps
East Garo Hills,7.23,14.24,0,256.04,737,14,0,3,6,5,283.51,759
East Jaintia Hills,0,0.24,0,530.64,244,1,0,0,216.16,11,747.04,256
East Khasi Hills,5.12,148.4,2261.37,6943.64,3200,63,314,9,1697.94,123,11056.47,3709
North Garo Hills,8.75,0,0,290.63,527,0,0,2,0,0,299.38,529
Ri Bhoi,32.53,31.87,0,1009.38,828,25,4,38,1158.17,17,2231.95,912
South Garo Hills,4.53,18.97,0,297.29,371,18,0,3,0,0,320.79,392
West Garo Hills,32.18,26.95,0,1598.42,1836,16,124,14,231.65,11,1889.2,2001
West Jaintia Hills,7.72,11.61,0,1292.46,682,11,74,15,757.62,66,2069.41,848
West Khasi Hills,0,10.31,0,639.86,363,9,0,0,21.99,3,672.16,375
