district,agri_amount_achieved_ps,agri_no_achieved_ps,agri_target_amount_ps,agri_target_no_ps,amount_achv%_agrips,crop_amount_achieved_loan,crop_amount_achv%_loan,crop_no_achieved_loan,crop_target_amount_loan,crop_target_no_loan,ps_amount_msme_target,target_msme_no_ps
East Garo Hills,472.2,393,6830,9163,6.91,283.94,5.36,277,5300,7350,2400,1925
East Jaintia Hills,152.35,143,2140,1590,7.12,46.94,4.47,73,1050,1050,6100,606
East Khasi Hills,5031.35,2947,14980,9286,33.59,1398.58,22.52,1723,6210,6139,82998.78,11025
North Garo Hills,308.93,467,4500,5749,6.87,174.54,5.63,260,3100,4185,1800,1650
Ri Bhoi,5962.02,3053,16850,14433,35.38,1802.52,20.14,2290,8950,12160,18360,2386
South Garo Hills,130.05,185,3570,3351,3.64,71.43,2.65,96,2700,3240,606,531
West Garo Hills,1418.65,1346,12890,21240,11.01,898.92,12.26,455,7330,11892,15000,7500
West Jaintia Hills,1352.11,776,6020,4802,22.46,401.74,10.3,351,3900,3900,10400,1030
West Khasi Hills,382.79,500,4056,2880,9.44,208.43,8.07,309,2584,2238,1406,632
