district,cy_disb_amt,cy_disb_no,o/s_amt,o/s_no
East Garo Hills,610.54,469,9066.84,5203
East Jaintia Hills,647.08,341,6432.07,2291
East Khasi Hills,16736.01,8532,182621.18,66985
Eastern West Khasi Hills,349.46,442,6719.47,6198
North Garo Hills,102.31,170,5844.01,2838
Ri Bhoi,2160.35,2010,41926.19,26478
South Garo Hills,137.87,56,4531.17,1283
South West Garo Hills,192.54,247,6043.06,3886
South West Khasi Hills,174.79,166,3762.24,2252
West Garo Hills,1388.23,1571,39050.12,17250
West Jaintia Hills,2067.96,1014,21046.1,9725
West Khasi Hills,552.22,414,7948.53,5422
