district,amt_tioned_sanc,disb_amt,disb_number,girl_of_amt_which_sanctioned_student,no_tioned_sanc,of_amt_student_which_os_girl,of_dent_girl_no_disb_stu_which,of_dent_girl_tioned_no_sanc_stu_which,of_no_student_which_os_girl,of_student_amt_which_disb_girl,os_amt,os_no
East Garo Hills,0,0.9,1,0,0,38.43,0,0,15,0,110.66,37
East Jaintia Hills,0,0.5,1,0,0,71.99,0,0,30,0,152.45,49
East Khasi Hills,7576.08,2214.95,475,2206.38,436,5901.35,136,135,1209,574.29,17966.95,2510
North Garo Hills,0,0,0,0,0,15.12,0,0,3,0,41.91,13
Ri Bhoi,12.26,16.75,21,8.55,6,548.97,9,3,220,7.95,838.9,272
South Garo Hills,0,1.64,3,0,0,14.41,2,0,7,0.76,31.16,11
South West Garo Hills,0.37,0,0,0,1,34.92,0,0,15,0,41.91,19
South West Khasi Hills,0,0.2,1,0,0,66.06,0,0,30,0,115.97,50
West Garo Hills,51.03,22.22,35,7.57,10,442.79,21,7,122,13.98,891.68,239
West Jaintia Hills,5.19,4.75,10,0.28,3,259.88,5,1,97,2.15,466.84,158
West Khasi Hills,9.81,16.66,16,27.81,5,225.37,15,5,102,15.61,313.45,140
