district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
East Garo Hills,116.15,34,34,116.15,97.34,6.11,13,4.28,142.80,146,97.34,1093,1093
East Jaintia Hills,24.50,12,12,24.50,96.60,12.92,15,1.79,721.44,748,96.60,1020,1020
East Khasi Hills,230.40,189,189,230.40,965.33,22.60,28,1.50,1505.60,1528,965.37,4024,4021
Eastern West Khasi Hills,131.99,54,54,129.35,43.12,36.62,20,2.89,1267.18,795,43.12,743,745
North Garo Hills,62.06,88,88,62.06,148.99,13.15,13,13.66,96.28,96,148.99,1880,1880
Ri Bhoi,299.45,105,104,298.60,265.68,70.91,83,4.93,1438.50,1463,270.71,2815,2768
South Garo Hills,48.99,73,73,48.99,175.14,31.28,61,9.26,337.84,390,175.14,992,992
South West Garo Hills,35.86,25,25,35.86,42.76,18.71,75,4.73,395.80,509,42.76,900,900
South West Khasi Hills,56.31,35,35,56.31,91.67,18.04,5,2.91,619.48,495,91.67,737,737
West Garo Hills,117.96,105,105,117.96,353.49,67.67,146,6.53,1036.86,1163,353.49,4270,4270
West Jaintia Hills,61.50,49,49,61.50,174.10,27.20,26,2.19,1241.47,1225,165.84,1660,1662
West Khasi Hills,56.18,24,22,53.33,37.93,38.71,53,4.49,862.87,714,37.93,948,949
