district,%_amt_npa_nulm,amt_npa_nulm,amt_o/s_nulm,amt_sepg,amt_sepi,amt_shg,amt_shg_women,disb_rent_total_nulm_no_year_cur,no_ciary_beneif_of_sepg,no_npa_nulm,no_o/s_nulm,no_sepg,no_sepi,no_shg,no_shg_women,of_shg_ciary_beneif_no,of_shg_ciary_beneif_no_women,rent_total_disb_amount_nulm_year_cur
East Garo Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Jaintia Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Khasi Hills,49.89,11.41,22.87,0,0,1.9,1.9,1,0,20,30,0,0,1,1,1,1,1.9
Ri Bhoi,0,0.44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
West Garo Hills,45.89,20.62,44.93,0,0,0,0,0,0,22,51,0,0,0,0,0,0,0
West Khasi Hills,0,0,0.22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
