district,a/c_nos_plantation_horticulture,a/c_wasteland_forestry_nos_and_dev,amt_wasteland_forestry_and_dev,crop_amt_loan,culture_plantation_amount_horti,farm_amount_anization_mech,farm_nos_nization_a/c_mecha,loan_crop_a/c,source_water_nos_a/c_re,water_amount_resource
East Garo Hills,0,0,0,283.94,0,5.24,8,277,0,0
East Jaintia Hills,0,0,0,46.94,0,38.84,26,73,0,0
East Khasi Hills,9,71,70.39,1398.58,41.67,107.21,176,1723,0,0
Eastern West Khasi Hills,0,2,3.46,245.42,0,3.36,8,412,0,0
North Garo Hills,1,0,0,174.54,5.13,0,0,260,0,0
Ri Bhoi,1,5,3.88,1802.52,5.13,4.14,11,2290,0,0
South Garo Hills,0,0,0,71.43,0,0,0,96,0,0
South West Garo Hills,0,0,0,149.68,0,32.08,105,161,0,0
South West Khasi Hills,6,0,0,142.79,30.8,0,0,192,0,0
West Garo Hills,11,1,0.65,898.92,51.78,60.53,155,455,0,0
West Jaintia Hills,3,1,1,401.74,15.4,72.73,204,351,0,0
West Khasi Hills,2,2,0.94,208.43,10.27,0,0,309,0,0
