district,a/c_exp_nps_credit,a/c_ing_nps_hous,a/c_nps_cation_edu,a/c_nps_others,amt_nps_cation_edu,amt_nps_credit_exp,amt_nps_culture_agri,amt_nps_housing,amt_nps_msme,der_loans_a/c_nps_un_personal,der_loans_amt_nps_un_personal,disb_nps_acp_total_no,no_nps_culture_agri,no_nps_msme,nps_others_amt,nps_total_amt_disb_acp
East Garo Hills,0,7,0,388,0,0,0,3.65,0,57,312.87,452,0,0,1580.07,1896.59
East Jaintia Hills,0,1,0,585,0,0,0.3,7.52,0,93,450.17,680,1,0,2551.28,3009.27
East Khasi Hills,0,232,267,9439,1121.57,0,0.97,3626.52,0,1712,8869.33,11651,1,0,117125.69,130744.08
North Garo Hills,0,3,0,26,0,0,0,2.38,0,14,64.48,43,0,0,133.99,200.85
Ri Bhoi,0,115,0,728,0,0,5.57,1022.12,0,99,590.56,945,3,0,3217.41,4835.66
South Garo Hills,0,3,0,126,0,0,0,2.48,0,17,98.5,146,0,0,407.09,508.07
West Garo Hills,0,36,0,1308,0,0,0,56.49,0,178,1127.3,1522,0,0,2835.38,4019.17
West Khasi Hills,0,5,0,130,0,0,1.07,38.28,0,110,410.07,246,1,0,298.84,748.26
