district,kcc_card_activated,kcc_during_amount_for_husbandary_quarter_animal_disbursed,kcc_during_disbursed_quarter_amount,no_during_of_cluding_kcc_quarter_renewal_in_issued,no_imal_of_quarter_issued_kcc_renewal_for_during_including_husbandary_an,rupay_issued_number_card_of,total_o/s_kcc_amount,total_o/s_kcc_no
East Garo Hills,533,0,206.13,270,0,1030,1619.44,3116
East Jaintia Hills,174,8.6,44.14,71,13,149,655.2,1157
East Khasi Hills,3012,28.6,1325.64,1811,38,6120,13673.51,23345
North Garo Hills,599,0.5,155.24,243,1,1146,1903.76,3859
Ri Bhoi,4251,4.31,1733.17,2158,6,11294,18408.2,29684
South Garo Hills,171,2.63,46.28,70,7,190,571.97,1432
South West Garo Hills,447,0,183.21,280,0,952,2157.85,4984
West Garo Hills,1011,3.5,376.75,590,7,1785,3937.52,9073
West Jaintia Hills,885,3.52,432.6,514,6,1395,3192.21,5624
West Khasi Hills,243,5.31,171.53,289,6,2640,3828.83,6325
