district,aadhaar_authenti_cated_sb_accounts,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
East Garo Hills,6100,6100,14129,8,14426,636
East Jaintia Hills,5813,5813,12442,11,19686,19
East Khasi Hills,63531,63531,67742,40,97302,5400
Eastern West Khasi Hills,1487,1487,4650,3,12143,778
North Garo Hills,6483,6483,21437,2,21535,680
Ri Bhoi,6068,6068,16314,6,28859,7696
South Garo Hills,7307,7307,8228,3,8364,59
South West Garo Hills,17380,17380,20836,7,21699,574
South West Khasi Hills,411,411,1711,1,7137,366
West Garo Hills,42755,42755,61759,3,64875,1136
West Jaintia Hills,7891,7891,9458,19,18673,621
West Khasi Hills,2208,2208,5736,8,12347,2494
