district,a/c_bhim/upi,a/c_bhim_aadhaar,a/c_imps,a/c_ussd,amt_bhim/upi,amt_credit_debit_cards,amt_ussd,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,cards_a/c_credit_debit,code_bharat_a/c_qr,code_bharat_amt_qr,debit_credit_cards_a_c,debit_credit_cards_amt,haar_bhim_amt_aad,imps_a_c,imps_amt,ussd_a_c,ussd_amt
East Garo Hills,82127,707140,9112,13922,4131.67,740.57,314.02,359,77.40,707140,9717.45,82127,4131.67,16939,359,77.4,16939,740.57,9717.45,9112,1618.59,13922,314.02
East Jaintia Hills,517944,635929,27254,11482,19290.73,3110.62,390.86,1147,214.13,635929,12929.39,517944,19290.73,55068,1147,214.13,55068,3110.62,12929.39,27254,88757.1,11482,390.86
East Khasi Hills,5014908,6163911,330507,476863,120846.18,394774.94,10336.43,5256,885.26,6163911,107593.01,5014908,120846.18,1561217,5256,885.26,1561217,394774.94,107593.01,330507,356682.55,476863,10336.43
Eastern West Khasi Hills,,,,,,,,0,0.00,149823,2289.79,75318,1484.02,,,,24165,912.28,,3237,594.42,5788,172.42
North Garo Hills,34904,817682,445,11352,320.02,542.66,301.8,0,0.00,817682,11387.83,34904,320.02,13865,0,0,13865,542.66,11387.83,445,84.68,11352,301.80
Ri Bhoi,619649,1694408,20194,77344,20877.99,4210.48,1707.11,1349,205.70,1694408,29444.26,619649,20877.99,122993,1349,205.7,122993,4210.48,29444.26,20194,83589.82,77344,1707.11
South Garo Hills,13669,518408,497,6129,256.67,248.83,179.98,0,0.00,518408,7697.39,13669,256.67,6454,0,0,6454,248.83,7697.39,497,53.45,6129,179.98
South West Garo Hills,184379,722879,14176,10766,8445.19,346.86,303.71,1,0.00,722879,10929.58,184379,8445.19,8291,1,0,8291,346.86,10929.58,14176,2804.7,10766,303.71
South West Khasi Hills,18545,155359,1012,5666,386.49,1062.3,148.4,117,9.52,155359,2477.10,18545,386.49,25095,117,9.52,25095,1062.30,2477.1,1012,194.69,5666,148.40
West Garo Hills,498847,3523760,37054,68079,16936.48,3452.42,1749.53,1139,227.08,3523760,63638.69,498847,16936.48,81064,1139,227.08,81064,3452.42,63638.69,37054,77030.05,68079,1749.53
West Jaintia Hills,470434,806457,23263,31731,12385.41,7174.44,740.88,388,23.55,806457,12609.26,470434,12385.41,173890,388,23.55,173890,7174.44,12609.26,23263,51143.17,31731,740.88
West Khasi Hills,181180,285376,8858,10325,4920.77,2677.01,288.85,0,0.00,285376,4804.89,181180,4920.77,65902,0,0,65902,2677.01,4804.89,8858,1744.13,10325,288.85
