district,amt_pmegp_%_npa,amt_pmegp_o/s,cy_a/c_no_bursed_dis,cy_amt_bursed_dis,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,cy_tion_amt_sanc,cy_tion_no_a/c_sanc,no_pmegp_npa,npa_amt,npa_no,npa_pct,os_amt,os_no,pmegp_npa_amt,pmegp_o/s_no
East Garo Hills,42.77,428.58,10,1.28,1.28,10,63.80,29,63.8,29,102,183.31,102,42.77,428.58,212,183.31,212
East Jaintia Hills,5.02,232,5,16.24,16.24,5,39.98,6,39.98,6,12,11.64,12,5.02,232.00,72,11.64,72
East Khasi Hills,24.31,4598.35,84,294.94,294.94,84,451.40,97,451.4,97,470,1117.67,470,24.31,4598.35,1245,1117.67,1245
Eastern West Khasi Hills,11.83,228.31,5,10.18,10.18,5,18.28,3,18.28,3,24,27.02,24,11.83,228.31,94,27.02,94
North Garo Hills,32.4,465.31,9,12.73,12.73,9,104.16,33,104.16,33,98,150.76,98,32.40,465.31,224,150.76,224
Ri Bhoi,22.87,958.28,58,97.26,97.26,58,131.62,34,131.62,34,139,219.13,139,22.87,958.28,384,219.13,384
South Garo Hills,38.48,468.84,5,7.94,7.94,5,25.90,6,25.9,6,125,180.39,125,38.48,468.84,206,180.39,206
South West Garo Hills,36.29,579.67,10,18.35,18.35,10,72.99,19,72.99,19,109,210.34,109,36.29,579.67,240,210.34,240
South West Khasi Hills,12.52,293.32,18,14.19,14.19,18,23.77,5,23.77,5,26,36.73,26,12.52,293.32,135,36.73,135
West Garo Hills,24.87,2293.43,22,73.57,73.57,22,183.26,42,183.26,42,260,570.36,260,24.87,2293.43,725,570.36,725
West Jaintia Hills,14.64,916.35,66,152,152.00,66,120.15,29,120.15,29,79,134.18,79,14.64,916.35,307,134.18,307
West Khasi Hills,34.24,467.62,17,32.64,32.64,17,61.80,13,61.8,13,117,160.09,117,34.24,467.62,218,160.09,218
