district,deposits_held_in_a_c_amt,female_no,held_amt_in_the_a/c_deposits,male_no,no_of_aadhaar_seeded,no_of_balance_a/c_zero,no_of_issued_rupay_card,no_of_rupay_activated_card,no_of_rupay_card_issued,no_of_seeded_aadhaar,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_no_pmjdy,total_pmjdy_no,urban_no
East Garo Hills,1017.41,19758,1017.41,13447,3569,1807,25365,14845,25365,3569,1807,14845,24851,33205,33205,8354
East Jaintia Hills,3747.51,25745,3747.51,16360,11201,987,21209,8675,21209,11201,987,8675,40274,42105,42105,1831
East Khasi Hills,13819.36,92105,13819.36,64447,34730,16614,79254,45019,79254,34730,16614,45019,102252,156552,156552,54300
Eastern West Khasi Hills,3103.17,21175,3103.17,13822,6059,1089,14971,6715,14971,6059,1089,6715,30478,34997,34997,4519
North Garo Hills,1098.33,26689,1098.33,20574,5020,1021,41152,18500,41152,5020,1021,18500,43495,47263,47263,3768
Ri Bhoi,4255.65,37626,4255.65,24358,11581,2628,37647,17899,37647,11581,2628,17899,55040,61984,61984,6944
South Garo Hills,628.32,11963,628.32,9288,3562,1858,12695,8146,12695,3562,1858,8146,15940,21251,21251,5311
South West Garo Hills,1821.86,26721,1821.86,22748,5716,1462,37068,22919,37068,5716,1462,22919,45945,49469,49469,3524
South West Khasi Hills,1096.47,12097,1096.47,6473,2977,1505,12797,6121,12797,2977,1505,6121,17156,18570,18570,1414
West Garo Hills,4747.89,104224,4747.89,76678,26270,8678,142426,72477,142426,26270,8678,72477,160628,180902,180902,20274
West Jaintia Hills,4449.78,44030,4449.78,22767,11956,3366,33605,14638,33605,11956,3366,14638,52562,66797,66797,14235
West Khasi Hills,2543.96,28896,2543.96,18200,6424,1453,19111,6300,19111,6424,1453,6300,39528,47096,47096,7568
