district,disb_total_amt_mudra,kishore_amt,kishore_no,sishu_amt,sishu_no,tarun_amt,tarun_no,total_disb_no_mudra
East Garo Hills,122.78,24.19,28,65.69,166,32.9,4,198
East Jaintia Hills,154.02,76.06,41,4.64,12,73.32,16,69
East Khasi Hills,3547.91,1689.49,1213,725.22,2066,1133.2,175,3454
Eastern West Khasi Hills,53.99,17.97,6,1,2,35.02,6,14
North Garo Hills,48.78,20.65,7,0,1,28.13,5,13
Ri Bhoi,634.42,292.63,286,189.92,554,151.87,31,871
South Garo Hills,29.36,19.36,7,0,0,10,1,8
South West Garo Hills,40.66,26.15,12,0.86,2,13.65,4,18
South West Khasi Hills,56.52,28.17,19,1.41,8,26.94,6,33
West Garo Hills,802.4,247.24,126,291.08,771,264.08,38,935
West Jaintia Hills,501.48,274.91,197,51.86,139,174.71,30,366
West Khasi Hills,237.31,120.76,82,2.39,7,114.16,15,104
