district,agri_amt_%_npa,ps_total_o/s_no_msme,tot_npa_agri_amt_ps,tot_npa_agri_no_ps,tot_npa_msme_amt_ps,tot_npa_msme_no_ps,total_o/s_agri_amt_ps,total_o/s_agri_no_ps,total_o/s_amt_msme_ps
East Garo Hills,20.59,1662,1160.01,3335,283.51,759,5633.89,5155,2828.48
East Jaintia Hills,6.49,2274,310.94,560,747.04,256,4790.28,2673,9966.9
East Khasi Hills,2.92,16462,4068.04,10940,11056.47,3709,139336.91,27418,248752.19
Eastern West Khasi Hills,10.19,1692,484.82,1162,119.06,100,4756.35,7623,2962.13
North Garo Hills,45.9,1193,1794.6,4451,299.38,529,3909.59,5941,1611.06
Ri Bhoi,32.27,5476,8418.24,20562,2231.95,912,26087.77,34761,52521.26
South Garo Hills,23.47,806,724.31,2102,320.79,392,3086.19,3272,1422.73
South West Garo Hills,35.03,1215,1715.09,4987,248.85,275,4896.08,7733,2583.9
South West Khasi Hills,8.88,803,220.74,474,135.3,76,2485.43,2937,1706.71
West Garo Hills,23.72,7295,3160.03,13087,1889.2,2001,13321.55,14354,17745.29
West Jaintia Hills,6.41,5735,1174,6927,2069.41,848,18302.2,6733,17510.9
West Khasi Hills,31.7,2258,1957.48,3466,672.16,375,6174.58,7445,4226.98
