district,medium_amt,medium_no,micro_amt,micro_no,msme_amount_total_o/s,o/s_msme_no_total,other_amt_msme,other_no_msme,small_amt,small_no
East Garo Hills,0,0,2453.69,1417,2828.48,1662,160.53,215,214.26,30
East Jaintia Hills,0,0,6733.2,1928,9966.9,2274,187.88,107,3045.82,239
East Khasi Hills,66216.84,114,129873.26,15277,248752.19,16462,289.41,127,52372.68,944
Eastern West Khasi Hills,0,0,2337.62,1364,2962.13,1692,294.76,306,329.75,22
North Garo Hills,0,0,1289.29,1090,1611.06,1193,119.16,28,202.61,75
Ri Bhoi,16222.45,21,23657.04,4377,52521.26,5476,445.66,658,12196.11,420
South Garo Hills,0,0,1198.24,743,1422.73,806,81.52,26,142.97,37
South West Garo Hills,0,0,2056.18,1136,2583.9,1215,111.16,34,416.56,45
South West Khasi Hills,0,0,1605.5,762,1706.71,803,17.93,10,83.28,31
West Garo Hills,241.04,4,14115.38,6242,17745.29,7295,811.95,627,2576.92,422
West Jaintia Hills,0,0,11604.8,4690,17510.9,5735,533.74,524,5372.36,521
West Khasi Hills,0,0,3680.91,2154,4226.98,2258,80.64,56,465.43,48
