district,able_renew_amt,amt_export,amt_infra_social,no_export,no_infra_social,no_other_ps,no_renewable,o/s_ops_no_total,ops_total_amount_o/s,other_amt_ps,ps_amt_education,ps_amt_housing,ps_no_education,ps_no_housing
East Garo Hills,0,0,18.22,0,6,1312,0,1440,974.74,331.43,106.73,518.36,37,85
East Khasi Hills,0,0,118.56,0,186,14828,0,19960,47808.32,6631.51,9632.34,31425.91,2036,2910
Ri Bhoi,1795.87,0,12.26,0,6,2118,1,3179,11552.01,638.59,735.89,8369.4,266,788
West Garo Hills,0,0,82.36,0,20,2384,0,3242,6331.62,552.69,609.03,5087.54,230,608
West Khasi Hills,0,0,2.61,0,1,14,0,289,1424.58,66.88,281.01,1074.08,130,144
