district,able_amt_renew,able_no_renew,amt_export,amt_housing_ps,infra_social_amt,infra_social_no,no_export,ps_amt_education,ps_amt_other,ps_no_education,ps_no_housing,ps_no_other,tot_ps_amt_npa_other,tot_ps_no_npa_other
East Garo Hills,0,0,0,52.82,13.7,5,0,13.03,0.83,5,25,6,80.38,41
East Jaintia Hills,0,0,0,96.97,3.67,2,0,12.61,215.23,6,8,34,328.48,50
East Khasi Hills,0,0,0,339.26,46.22,15,0,226.57,1537.42,71,40,1227,2149.47,1353
North Garo Hills,0,0,0,203.81,15.33,8,0,19.58,0,4,80,0,238.72,92
Ri Bhoi,0,0,0,85.35,6.74,3,0,53.79,135.01,22,12,226,280.89,263
South Garo Hills,0,0,0,103.19,24.74,12,0,0,0,0,38,0,127.93,50
West Garo Hills,0,0,0,307.96,32.17,13,0,24.59,2.36,9,44,10,367.08,76
West Jaintia Hills,0,0,0,133.05,20.59,12,0,62.4,193.99,18,23,58,410.03,111
West Khasi Hills,0,0,0,17.96,2.61,1,0,37.16,66.88,16,5,14,124.61,36
