district,a/c_nrlm_amt_irregular,cy_shg_amt,cy_shg_no,group_current_no_selfhelp_year,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,nrlm_%_npa_amt,nrlm_a/c_no_irregular,nrlm_amt_o/s,nrlm_no_npa,nrlm_npa_amt,nrlm_o/s_no,os_amt,os_no,selfhelp_current_amount_year_group
East Garo Hills,9.52,128.88,47,47,9.52,23,67.12,190,13.21,13.21,23,507.97,190,67.12,587,507.97,587,128.88
East Jaintia Hills,4.7,24.50,12,12,4.70,8,4.70,8,0.66,0.66,8,711.63,8,4.7,733,711.63,733,24.5
East Khasi Hills,3.6,198.23,172,172,3.60,6,25.72,50,1.50,1.5,6,1713.64,50,25.72,1793,1713.64,1793,198.23
Eastern West Khasi Hills,27.61,123.62,54,54,27.61,15,34.97,39,2.86,2.86,15,1223.34,39,34.97,824,1223.34,824,123.62
North Garo Hills,3.45,84.71,109,109,3.45,10,84.84,206,26.46,26.46,10,320.69,206,84.84,476,320.69,476,84.71
Ri Bhoi,26.16,190.94,96,96,26.16,32,37.78,49,2.72,2.72,32,1390.2,49,37.78,1398,1390.20,1398,190.94
South Garo Hills,16.7,49.63,42,42,16.70,30,102.63,136,34.90,34.9,30,294.09,136,102.63,329,294.09,329,49.63
South West Garo Hills,3.35,27.15,253,253,3.35,6,6.09,9,1.08,1.08,6,565.34,9,6.09,593,565.34,593,27.15
South West Khasi Hills,8.47,36.30,36,36,8.47,5,11.74,9,1.84,1.84,5,636.51,9,11.74,529,636.51,529,36.3
West Garo Hills,48.73,140.48,123,123,48.73,106,187.00,274,12.68,12.68,106,1474.74,274,187,1527,1474.74,1527,140.48
West Jaintia Hills,24.28,69.79,52,52,24.28,21,26.47,32,2.03,2.03,21,1300.91,32,26.47,1315,1300.91,1315,69.79
West Khasi Hills,26.13,64.86,24,24,26.13,25,26.51,27,3.02,3.02,25,877,27,26.51,708,877.00,708,64.86
