district,no_of_aadhaar_seeded_casa,no_of_authenticated_casa,no_of_operative_casa,number_of_aadhaar_seed_ed_casa,number_of_authenticated_casa,number_of_operative_casa
East Garo Hills,7205,11614,113022,7205,11614,113022
East Jaintia Hills,28690,6731,134033,28690,6731,134033
East Khasi Hills,164574,142689,1037642,164574,142689,1037642
Eastern West Khasi Hills,14101,1469,106427,14101,1469,106427
North Garo Hills,9218,5623,127098,9218,5623,127098
Ri Bhoi,36599,13662,287512,36599,13662,287512
South Garo Hills,10316,6119,85874,10316,6119,85874
South West Garo Hills,19560,12445,133593,19560,12445,133593
South West Khasi Hills,4899,467,75790,4899,467,75790
West Garo Hills,67052,58694,484148,67052,58694,484148
West Jaintia Hills,38903,20161,310582,38903,20161,310582
West Khasi Hills,22705,5286,142721,22705,5286,142721
