district,cy_disbursement_amt,cy_disbursement_no,outstanding_amt,outstanding_no
East Garo Hills,81.09,41,343.97,238
East Jaintia Hills,0,0,4.98,16
East Khasi Hills,2171.61,744,2219.67,6687
Eastern West Khasi Hills,3.36,3,53.25,70
North Garo Hills,0,0,93.64,87
Ri Bhoi,605.46,643,704.17,2573
South Garo Hills,0,0,7.06,21
South West Garo Hills,24.02,13,150.85,222
South West Khasi Hills,0,0,2.95,6
West Garo Hills,663.59,684,1470.6,2296
West Jaintia Hills,459.2,242,329.33,309
West Khasi Hills,0,0,132.96,72
