district,amt_bud_dhists,amt_lims_mus,amt_sikhs,amt_tians_chris,amt_trians_zoras,jains_amt,no_bud_dhists,no_jains,no_lims_mus,no_sikhs,no_tians_chris,no_trians_zoras,o/s_loan_tot_no_minority_to,tot_amt_minority_loan_to_o/s
East Garo Hills,12.38,480.14,14.38,508.73,2.97,0,1,0,191,4,364,1,561,1018.6
East Jaintia Hills,2.9,790.24,0,6221.8,0,22.98,2,3,154,0,3320,0,3479,7037.92
East Khasi Hills,643.31,15470.82,1467,93857.29,0,248.72,151,21,2869,566,43259,0,46866,111687.14
North Garo Hills,0,130.58,0,363.24,0,0,0,0,36,0,210,0,246,493.82
Ri Bhoi,240.51,9996.28,1671.18,13035.5,1.91,180.05,42,15,1925,39,13712,1,15734,25125.43
South Garo Hills,0,195.33,0,399.31,0,8.59,0,1,42,0,396,0,439,603.23
West Garo Hills,28.01,8849.09,84.05,8997.7,0,3.09,11,1,3569,18,5737,0,9336,17961.94
West Jaintia Hills,0.7,272.56,7.17,18119.09,0,0,2,0,76,4,8099,0,8181,18399.52
West Khasi Hills,9.5,319.56,40.29,8288.8,0,0,7,0,154,15,5739,0,5915,8658.15
