district,agri_amt_infra,agri_no_infra,agri_total_amount_o/s,amt_ancillary,farm_amt_credit_crop,farm_crop_no_credit,farm_loan_credit_amt_term,no_ancillary,o/s_agri_no_total,term_farm_loan_credit_no
East Garo Hills,3748.14,1828,5633.89,147.21,1688.86,3029,49.68,212,5155,86
East Jaintia Hills,3504.59,982,4790.28,157.47,654.08,1181,474.14,128,2673,382
East Khasi Hills,118218.05,1502,139336.91,3910.34,14171.07,22013,3037.45,781,27418,3122
Eastern West Khasi Hills,987.65,292,4756.35,58.99,3461.29,6813,248.42,59,7623,459
North Garo Hills,1858.44,1960,3909.59,105.68,1907.21,3838,38.26,99,5941,44
Ri Bhoi,5450.13,2415,26087.77,805.82,18207.15,28547,1624.67,801,34761,2998
South Garo Hills,1887.64,1359,3086.19,81.87,779.66,1632,337.02,93,3272,188
South West Garo Hills,2496.1,2597,4896.08,52.44,2042.6,4258,304.94,47,7733,831
South West Khasi Hills,911.01,384,2485.43,92.57,1352.66,2341,129.19,87,2937,125
West Garo Hills,7296.36,3609,13321.55,718.23,4339.76,7675,967.2,269,14354,2801
West Jaintia Hills,13367.29,653,18302.2,1022.56,3084.1,4571,828.25,190,6733,1319
West Khasi Hills,2193.81,935,6174.58,121.34,3760.54,6173,98.89,221,7445,116
