district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
East Garo Hills,0.00,0,25.35,8,0.00,0,54.68,52,0.00,0,80.03,60,0.00,0
East Jaintia Hills,0.00,0,743.29,219,0.00,0,61.05,25,0.00,0,804.34,244,0.00,0
East Khasi Hills,73.02,14,10717.16,4990,105.06,7,1995.30,369,149.28,82,13039.82,5462,0.00,0
Eastern West Khasi Hills,0.00,0,570.83,456,0.00,0,0.00,0,0.00,0,570.83,456,0.00,0
North Garo Hills,0.00,0,33.62,19,0.00,0,19.32,6,0.00,0,52.94,25,0.00,0
Ri Bhoi,0.00,0,1437.98,1129,0.00,0,295.41,92,391.85,3,2125.24,1224,0.00,0
South Garo Hills,0.00,0,2.21,2,0.00,0,8.40,1,0.00,0,10.61,3,0.00,0
South West Garo Hills,0.00,0,29.46,22,0.00,0,51.44,30,0.00,0,80.90,52,0.00,0
South West Khasi Hills,0.00,0,209.57,161,0.00,0,0.00,0,0.00,0,209.57,161,0.00,0
West Garo Hills,0.00,0,1690.33,853,3.09,1,759.38,268,1.63,1,2454.43,1123,0.00,0
West Jaintia Hills,0.00,0,2026.27,880,0.00,0,16.23,4,0.00,0,2042.50,884,0.00,0
West Khasi Hills,0.00,0,714.59,420,0.00,0,0.01,1,0.95,1,715.55,422,0.00,0
