district,agri_amt_nps,loan_amt_personal,loan_no_personal,nps_agri_no,nps_amt_education,nps_amt_housing,nps_no_education,nps_no_housing,other_amt_nps,other_no_nps,sec_tot_npa_non_no_prio,tot_npa_non_amt_prio_sec
East Garo Hills,0.71,130.74,93,1,0,0,0,0,285.49,149,243,416.94
East Jaintia Hills,0,58.63,49,0,0,238.2,0,1,255.93,145,195,552.76
East Khasi Hills,1.06,805.7,522,138,6.92,259.41,1,29,1983.14,1153,1843,3056.23
Eastern West Khasi Hills,0,7.19,5,0,0,0,0,0,41.02,31,36,48.21
North Garo Hills,0.1,212.13,116,1,0,0,0,0,174.7,128,245,386.93
Ri Bhoi,1.56,132.54,67,5,0,17.4,0,1,1023.42,527,600,1174.92
South Garo Hills,0,103.75,65,0,0,0,0,0,126.32,82,147,230.07
South West Garo Hills,0.1,58.29,43,1,0,0,0,0,278.43,153,197,336.82
South West Khasi Hills,0,29.49,10,0,0,0,0,0,46.99,20,30,76.48
West Garo Hills,1.85,982.4,499,134,0,20.7,0,3,1279.99,792,1428,2284.94
West Jaintia Hills,0,146.33,100,72,0,35.49,0,2,262.7,156,330,444.52
West Khasi Hills,0,42.63,36,0,0,0,0,0,83.75,38,74,126.38
