district,ble_loan_no_pmay_o/s_under_eligi_housing,der_current_pmay_disbursed_no_un_year,loan_no_rural_o/s_housing,loan_rural_amount_o/s_housing,nps_loan_amount_housing_o/s,o/s_loan_ps_housing_amount,o/s_loan_under_housing_amount_pmay_eligible,o/s_no_nps_loan_housing,o/s_no_pmay,pmay_amount_o/s,pmay_disbursed_current_year_amount_under,ps_no_loan_o/s_housing
East Garo Hills,1,0,11,129.3,680.33,518.37,12.16,59,1,12.16,0,85
East Jaintia Hills,3,0,85,1365.46,1316.99,749.79,9.58,28,6,43.85,0,82
East Khasi Hills,118,0,712,10734.78,68586.33,29519.17,1709.25,3821,128,1941.51,0,3026
North Garo Hills,0,0,49,521.06,401.64,607.49,0,44,0,0,0,130
Ri Bhoi,27,0,1181,21427.24,17737.08,8236.7,346.77,1308,40,606.86,0,791
South Garo Hills,0,0,15,121.95,683.99,499.98,0,44,0,0,0,69
South West Garo Hills,0,0,47,856.49,590.65,452.55,0,46,0,0,0,46
South West Khasi Hills,0,0,36,524.8,411.85,290.74,0,16,0,0,0,34
West Garo Hills,12,0,240,2501.99,10542.84,4943.96,94.18,858,14,100.56,0,593
West Jaintia Hills,7,0,119,1378.57,2189.87,3998.32,16.5,109,16,153.13,0,403
West Khasi Hills,29,0,75,507.44,362.96,1344.32,218.89,25,35,326.62,0,172
