district,Block Name,Numberofoperative CASA,Numberof Aadhaarseeded CASA,Numberof Authenticated CASA
Aizawl,Thingsulthliah,18784,14587,5175
Champhai,Champhai,45015,30507,12008
Hnahthial,Hnahthial,13607,8535,3502
Khawzawl,Khawzawl,16633,10922,2018
Kolasib,N. THINGDAWL,25951,17610,2976
Lawngtlai,S Bungtlang,9132,422,0
Lunglei,Lungsen,10576,4225,3895
Mamit,Reiek,5354,3027,2354
Saiha,Saiha,37290,21865,7102
Saitual,Ngopa,9901,4776,2109
Serchhip,Serchhip,35884,24047,4958
