District,Block Name,PMJJBY,PMSBY,Enrol-mentunder APY,Total Enrolment
Aizawl,Tlangnuam,25096,41368,2027,68491
Champhai,Champhai,4065,7330,337,11732
Hnahthial,Hnahthial,1261,2072,2,3335
Khawzawl,Khawzawl,2749,4088,5,6842
Kolasib,Bilkhawthlir,3138,6794,397,10329
Lawngtlai,Chawngte,1920,3064,54,5038
Lunglei,Lungsen,1520,3187,44,4751
Mamit,W. PHAILENG,2511,3726,5,6242
Saiha,Saiha,2536,3433,44,6013
Saitual,Ngopa,1555,2203,7,3765
Serchhip,Serchhip,4770,8053,24,12847
