District,Block Name,Inactive BC,Ru Paycardactivein PMJDY,Firsttimeactive Ru Paycard,Aadhaar Authenti-cated Sb accounts,Ru Paycardissuedin KCC
Aizawl,Thingsulthliah,12220,2581,1399,3970,577
Champhai,Khawbung,0,1246,497,1735,47
Hnahthial,Hnahthial,13926,3517,3096,3313,72
Khawzawl,Khawzawl,5954,2940,781,2910,250
Kolasib,N. THINGDAWL,0,2850,0,2908,168
Lawngtlai,Chawngte,231825,10941,10442,7482,9
Lunglei,Lungsen,42281,3983,3303,2646,65
Mamit,Zawlnuam,17257,2655,1661,3963,108
Saiha,Saiha,58744,4593,3030,8509,795
Saitual,Phullen,0,322,117,0,75
Serchhip,E. LUNGDAR,0,1103,0,0,253
