district,Agri No,Amt.,Education No,Amt.,Housing No,Amt.,Personal Loan No,Amt.,Others No,Amt.,Total No,Amt.
Aizawl,1,91752.89,0,91752.89,2176,91752.89,5763,91752.89,12670,91752.89,20610,91752.89
Champhai,0,4256.97,0,4256.97,127,4256.97,313,4256.97,576,4256.97,1016,4256.97
Hnahthial,0,1703.43,0,1703.43,51,1703.43,220,1703.43,20,1703.43,291,1703.43
Khawzawl,0,1210.96,0,1210.96,34,1210.96,180,1210.96,35,1210.96,249,1210.96
Kolasib,0,5057.19,0,5057.19,99,5057.19,779,5057.19,315,5057.19,1193,5057.19
Lawngtlai,0,6278.01,0,6278.01,121,6278.01,1222,6278.01,674,6278.01,2017,6278.01
Lunglei,0,11966.05,1,11966.05,268,11966.05,1568,11966.05,803,11966.05,2640,11966.05
Mamit,1,3200.16,0,3200.16,66,3200.16,370,3200.16,256,3200.16,693,3200.16
Saiha,2,4970.37,0,4970.37,132,4970.37,637,4970.37,548,4970.37,1319,4970.37
Saitual,0,1052.49,0,1052.49,6,1052.49,168,1052.49,48,1052.49,222,1052.49
Serchhip,0,3528.15,0,3528.15,73,3528.15,509,3528.15,101,3528.15,683,3528.15
