District,Nameof Schedule Commercial Bankselectedforallotment,No. ofallotedvillages,"Outof Roadmappreparedforlessthan 2000,Noofvillageswhere Bankingoutletopeneduptotheendofthereporting Quarter",Grand Total (E+F+G),Yettobe Covered
Aizawl,AXIS,10,0,8,2
Champhai,HDFC,7,0,2,5
Kolasib,,7,2,7,0
Lawngtlai,,32,0,32,0
Lunglei,,11,0,6,5
Mamit,MCAB,12,0,6,6
Saiha,,10,0,3,7
Serchhip,,25,1,24,1
