district,Bank Name,KVIC (RURAL),KVIB (RURAL),DIC (URBAN),TOTAL
10,ICICI,0,0,3,3
11,IDBI,0,0,1,1
12,INDUS,0,0,1,1
13,IOB,0,0,1,1
14,MCAB,3,0,9,12
15,MRB,25,30,0,55
16,PNB,0,0,1,1
17,PSB,0,0,1,1
18,SBI,5,10,0,15
19,SIB,0,0,1,1
20,SYN,0,0,1,1
21,UBI,0,0,3,3
22,UCO,0,0,3,3
23,UNI,0,0,1,1
24,VJB,0,0,2,2
25,YES,0,0,1,1
Name of District: Lunglei,,,,,
Name of District: SIAHA,,,,,
Sl. No.,Bank Name,KVIC (RURAL),KVIB (RURAL),DIC (URBAN),TOTAL
