district,coverage_percentage_pct_of_eligible_savings_accounts_through_any_one_digital_mode,coverage_percentage_pct_of_eligible_current_accounts_through_any_one_digital_mode,name_of_the_district_mobile_banking_upi_ussd_coverage_total_no_of_accounts_covered,name_of_the_district_mobile_banking_upi_ussd_coverage_pct_coverage,name_of_the_district_mobile_banking_upi_ussd_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,name_of_the_district_mobile_banking_upi_ussd_coverage_pct_coverage_for_women_accounts,name_of_the_district_aeps_coverage_total_no_of_accounts_covered,name_of_the_district_aeps_coverage_pct_coverage,name_of_the_district_aeps_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,name_of_the_district_aeps_coverage_pct_coverage_for_women_accounts,name_of_the_district_coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_total_no_of_accounts_covered,name_of_the_district_coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_pct_coverage,name_of_the_district_coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_pct_coverage_for_women_accounts,name_of_the_district_no_of_operative_sb_accounts_ineligible_for_digital_coverage_as_per_bank_s_board_approved_policies_pct_coverage_for_women_accounts
Dhalai,100,100,110694,19.96,59758,21.58,463628,83.61,229619,82.93,554499,100,100,5751
Gomati,100,100,212086,30.47,105964,29.43,593109,85.21,295266,82.01,696081,100,100,11235
Khowai,100,100,131861,26.98,68913,27.71,392614,80.33,196355,78.95,488742,100,100,7086
North Tripura,100,100,141853,25.92,65995,24.07,443435,81.04,217450,79.32,547183,100,100,4464
Sepahijala,100,100,208291,31.27,105614,31.4,531602,79.8,260609,77.49,666180,100,100,4927
South Tripura,100,100,145471,21.51,67397,20.39,549371,81.23,270654,81.9,676310,100,100,2783
Unakoti,100,100,95552,23.55,48775,23.86,330358,81.41,166427,81.43,405798,100,100,9303
West Tripura,100,100,741171,48.76,306923,43.58,1189824,78.28,435944,61.9,1519924,100,100,39576
