district,district_wise_bc_csp_points_as_per_jan_dhan_darshak_portal_sl_no,district_wise_bc_csp_points_as_per_jan_dhan_darshak_portal_no_of_villages,district_wise_bc_csp_points_as_per_jan_dhan_darshak_portal_no_of_bc_csp
Dhalai,4,151,284
Gomati,5,173,382
Khowai,3,124,233
North Tripura,7,129,517
Sepahijala,2,169,369
South Tripura,6,169,298
Unakoti,8,91,174
West Tripura,1,172,557
